date, pm25, pm10
2025/11/1, 5, 6
2025/11/2, 18, 4
2025/11/3, 11, 3
2025/11/4, 7, 5
2025/11/5, 11, 7
2025/11/6, 20, 12
2025/11/7, 30, 15
2025/11/8, 41, 5
2025/11/9, 13, 4
2025/11/10, 10, 7
2025/11/11, 16, 4
2025/11/12, 12, 2
2025/11/13, 6, 
2025/10/1, 14, 8
2025/10/2, 22, 7
2025/10/3, 19, 8
2025/10/4, 16, 2
2025/10/5, 6, 5
2025/10/6, 14, 5
2025/10/7, 12, 3
2025/10/8, 7, 3
2025/10/9, 8, 3
2025/10/10, 7, 3
2025/10/11, 7, 2
2025/10/12, 5, 3
2025/10/13, 5, 4
2025/10/14, 6, 3
2025/10/15, 6, 5
2025/10/16, 8, 4
2025/10/17, 6, 3
2025/10/18, 6, 2
2025/10/19, 6, 3
2025/10/20, 8, 7
2025/10/21, 19, 15
2025/10/22, 46, 15
2025/10/23, 47, 11
2025/10/24, 35, 5
2025/10/25, 13, 5
2025/10/26, 13, 
2025/10/28, 11, 4
2025/10/29, 11, 4
2025/10/30, 11, 2
2025/10/31, 6, 2
2025/7/1, 10, 17
2025/7/2, 21, 8
2025/7/3, 18, 4
2025/7/4, 7, 5
2025/7/5, 14, 4
2025/7/6, 9, 5
2025/7/7, 11, 5
2025/7/8, 10, 8
2025/7/9, 15, 6
2025/7/10, 14, 7
2025/7/11, 17, 12
2025/7/12, 32, 26
2025/7/13, 56, 
2025/7/15, 35, 13
2025/7/16, 33, 7
2025/7/17, 16, 8
2025/7/18, 18, 8
2025/7/19, 20, 10
2025/7/20, 21, 10
2025/7/21, 24, 9
2025/7/22, 24, 14
2025/7/23, 34, 13
2025/7/24, 35, 13
2025/7/25, 31, 8
2025/7/26, 24, 7
2025/7/27, 18, 8
2025/7/28, 18, 6
2025/7/29, 17, 7
2025/7/30, 17, 7
2025/7/31, 17, 9
2025/8/1, 22, 9
2025/8/2, 14, 3
2025/8/3, 10, 5
2025/8/4, 15, 4
2025/8/5, 10, 4
2025/8/6, 10, 5
2025/8/7, 10, 7
2025/8/8, 15, 5
2025/8/9, 13, 4
2025/8/10, 10, 4
2025/8/11, 6, 4
2025/8/12, 8, 6
2025/8/13, 10, 7
2025/8/14, 15, 9
2025/8/15, 20, 3
2025/8/16, 6, 5
2025/8/17, 12, 5
2025/8/18, 9, 4
2025/8/19, 8, 7
2025/8/20, 14, 6
2025/8/21, 14, 4
2025/8/22, 10, 3
2025/8/23, 9, 3
2025/8/24, 6, 3
2025/8/25, 7, 4
2025/8/26, 9, 5
2025/8/27, 13, 5
2025/8/28, 13, 7
2025/8/29, 20, 6
2025/8/30, 17, 7
2025/8/31, 22, 9
2025/9/1, 28, 7
2025/9/2, 20, 6
2025/9/3, 16, 7
2025/9/4, 20, 9
2025/9/5, 23, 8
2025/9/6, 23, 7
2025/9/7, 19, 9
2025/9/8, 25, 13
2025/9/9, 31, 12
2025/9/10, 32, 12
2025/9/11, 32, 7
2025/9/12, 18, 4
2025/9/13, 10, 4
2025/9/14, 13, 4
2025/9/15, 12, 4
2025/9/16, 10, 4
2025/9/17, 9, 4
2025/9/18, 10, 5
2025/9/19, 11, 6
2025/9/20, 15, 7
2025/9/21, 20, 3
2025/9/22, 7, 5
2025/9/23, 11, 6
2025/9/24, 9, 4
2025/9/25, 9, 4
2025/9/26, 9, 5
2025/9/27, 13, 3
2025/9/28, 9, 3
2025/9/29, 7, 4
2025/9/30, 9, 5
2025/4/1, 49, 55
2025/4/2, 37, 34
2025/4/3, 20, 32
2025/4/4, 17, 15
2025/4/5, 11, 19
2025/4/6, 15, 19
2025/4/7, 12, 32
